codigo,clase,propiedad,superficie,instalado,numero_suc,elemento,localidad,provincia,coca,ipid,central,miga,estado,cedido_por,tipo,long x,latit y,id,valor,f_valor,icon_url
CR159,gABP,tesa,ocupacion,,,arqueta,Benalmadena,Malaga,,,,,4,,,,,"145",,,./0.png
CR58,gJP,tesa,ocupacion,,,arqueta,Benalmadena,Malaga,,,,,4,,,,,"147",,,./0.png
CR56,gABP,tesa,ocupacion,,,arqueta,Benalmadena,Malaga,,,,,4,,,,,"148",,,./0.png
CR75,GEN,tesa,ocupacion,,,arqueta,Benalmadena,Malaga,,,,,4,,,,,"149",,,./0.png
AY0646,AA,ayuntamiento,ocupacion,,,arqueta,Ceuta,Ceuta,,,,,0,,,,,"150",,,./0.png
AY0645,AA,ayuntamiento,ocupacion,,,arqueta,Ceuta,Ceuta,,,,,0,,,,,"165",,,./0.png
POSTE 114,PH,tesa,aereo,2016/02/12,627SUCW69212015102800,poste,Mairena del Aljarafe,Sevilla,,,,,3,,,,,"30","5",2021/01/01,./0.png
BABAR687093,A70_E,gtd,N/A,2010/04/09,N/A,arqueta,Barcelona,Barcelona,,,,,1,,,,,"172","5",2021/01/01,./0.png
BABAR691719,A120_E,gtd,N/A,2010/04/09,N/A,arqueta,Barcelona,Barcelona,,,,,1,,,,,"173","5",2021/01/01,./0.png
POSTE45,C,tesa,aereo,2001/01/01,627SUCW37612017031400,poste,Vejer de la Frontera,Cadiz,,"8065860",vejer de la frontera_1,1162003,3,,,,,"176",,,./0.png
"8064911",D,tesa,ocupacion,2017/10/05,627SUCW38412017031400,arqueta,Vejer de la Frontera,Cadiz,"20","8064911",vejer de la frontera_4,1162003,3,,,,,"177",,,./0.png
"8064978",D,tesa,ocupacion,2017/10/05,627SUCW38412017031400,arqueta,Vejer de la Frontera,Cadiz,,"8064978",vejer de la frontera_4,1162003,3,,,,,"178",,,./0.png
CR13,gBR,tesa,ocupacion,2017/10/05,627SUCW38412017031400,arqueta,Vejer de la Frontera,Cadiz,,"8064922",vejer de la frontera_4,1162003,3,,,,,"179",,,./0.png
CR20,gABP,tesa,ocupacion,2017/10/05,627SUCW38412017031400,arqueta,Vejer de la Frontera,Cadiz,"15","8064896",vejer de la frontera_4,1162003,3,,,,,"180",,,./0.png
CR5,TP,tesa,ocupacion,2016/04/19,N/A,arqueta,Mijas,Malaga,,,,,3,,,,,"181",,,./0.png
CR7,ABP,tesa,ocupacion,2016/04/19,627SUCW02632016020800,arqueta,Mijas,Malaga,,,,,3,,,,,"182",,,./0.png
GTDCAD042,,gtd,,,,,,,,,,,4,,A1,,,"205",,,./0.png
SEMAF006,A60,gtd,ocupacion,2011/10/01,N/A,arqueta,Mairena del Aljarafe,Sevilla,,,,,1,,,,,"2108","5",2021/01/01,./0.png
BABAR614193,A140,gtd,N/A,2010/04/09,N/A,arqueta,Barcelona,Barcelona,,,,,1,,,,,"228","1",2021/01/01,./0.png
CR14,gLR,tesa,ocupacion,2017/10/05,627SUCW38412017031400,arqueta,Vejer de la Frontera,Cadiz,"15","8064921",vejer de la frontera_4,1162003,3,,,,,"244",,,./0.png
CR7,gJP,tesa,ocupacion,2017/10/05,627SUCW38412017031400,arqueta,Vejer de la Frontera,Cadiz,,"8064924",vejer de la frontera_4,1162003,3,,,,,"245",,,./0.png
CR8,gBR,tesa,ocupacion,2017/10/05,627SUCW38412017031400,arqueta,Vejer de la Frontera,Cadiz,,"8064923",vejer de la frontera_4,1162003,3,,,,,"246",,,./0.png
SEBJS037,A60,gtd,ocupacion,2008/12/16,N/A,arqueta,Bormujos,Sevilla,,,,,1,,,,,"2103","5",2021/01/01,./0.png
SEBJS013,A60,gtd,ocupacion,2008/12/16,N/A,arqueta,Bormujos,Sevilla,,,,,1,,,,,"2104","5",2021/01/01,./0.png
SEBJS038,A60,gtd,ocupacion,2008/12/16,N/A,arqueta,Bormujos,Sevilla,,,,,1,,,,,"2106","5",2021/01/01,./0.png
SEBJS034,A60,gtd,ocupacion,2008/12/16,N/A,arqueta,Bormujos,Sevilla,,,,,1,,,,,"2107","5",2021/01/01,./0.png
SEMAF028,A60,gtd,ocupacion,2011/10/01,N/A,arqueta,Mairena del Aljarafe,Sevilla,,,,,1,,,,,"2109","5",2021/01/01,./0.png
SEMAF008,A60,gtd,ocupacion,2011/10/01,N/A,arqueta,Mairena del Aljarafe,Sevilla,,,,,1,,,,,"2110","5",2021/01/01,./0.png
SEMAF018,A60,gtd,ocupacion,2011/10/01,N/A,arqueta,Mairena del Aljarafe,Sevilla,,,,,1,,,,,"2113","5",2021/01/01,./0.png
SEMAF023,A60,gtd,ocupacion,2011/10/01,N/A,arqueta,Mairena del Aljarafe,Sevilla,,,,,1,,,,,"2116","5",2021/01/01,./0.png
,,tesa,,,,,,,,,,,4,,,,,"10401",,,./0.png
